pi_system_time_s,status_code,uwb_data.local_node.id,uwb_data.local_node.role,uwb_data.anchor_info.anchor_count,dis_0,dis_1,dis_2,dis_3,imu_data.IMU_temp,imu_data.accX,imu_data.accY,imu_data.accZ,imu_data.gyroX,imu_data.gyroY,imu_data.gyroZ,imu_data.MagX,imu_data.MagY,imu_data.MagZ,imu_data.magX,imu_data.magY,imu_data.magZ,imu_data.roll,imu_data.tilt,imu_data.pan,imu_data.Qw,imu_data.Qx,imu_data.Qy,imu_data.Qz,imu_data.timestamp,imu_data.readtime
1742703764.321940,,0,Tag,4,5.947,3.649,3.583,6.16,,9.712546,-1.146763,0.10335900000000000,0.06816,-0.014357,0.057603000000000000,-1286.3616,-480.17017600000000,356.593824,-1285.5,-463.5,381.0,-83.246752,84.848976,139.604368,-0.23003000000000000,0.634276,0.30399700000000000,0.67258,59127.095,59129.516
1742703764.342350,,0,Tag,4,5.93,3.68,3.607,6.198,,9.714476,-1.1515930000000000,0.10260600000000000,-0.044279,-0.000557,0.08591400000000000,-1289.372416,-481.8712,361.014272,-1288.5,-465.0,385.5,-83.24613600000000,84.855936,139.59816,-0.23002900000000000,0.634277,0.304006,0.672576,59147.095,59149.513
1742703764.361710,,0,Tag,4,5.94,3.694,3.612,6.162,,9.700426,-1.148485,0.09752800000000000,-0.019786000000000000,0.015908,0.11485800000000000,-1289.379456,-485.003072,363.87609600000000,-1288.5,-468.0,388.5,-83.2462,84.848432,139.60488000000000,-0.23002700000000000,0.634274,0.30399900000000000,0.672582,59167.095,59169.478
1742703764.382160,,0,Tag,4,5.999,3.635,3.628,6.144,,9.703998,-1.156167,0.10939200000000000,0.053853,-0.071542,0.069302,-1287.8720000000000,-487.864992,360.747904,-1287.0,-471.0,385.5,-83.246872,84.851424,139.60244800000000,-0.230033,0.634277,0.304,0.672577,59187.095,59189.515
1742703764.401540,,0,Tag,4,5.923,3.635,3.607,6.216,,9.710705000000000,-1.158444,0.099947,0.053782000000000000,-0.07209300000000000,0.083368,-1290.856832,-489.093376,354.67929600000000,-1290.0,-472.5,379.5,-83.245496,84.8552,139.59929600000000,-0.23002800000000000,0.634273,0.304012,0.672577,59207.095,59209.517
1742703764.421950,,0,Tag,4,5.928,3.628,3.637,6.218,,9.718282,-1.1472100000000000,0.097676,0.067742,-0.05556,0.112274,-1284.857472,-484.598016,354.896512,-1284.0,-468.0,379.5,-83.245672,84.857112,139.59769600000000,-0.23003000000000000,0.634274,0.304013,0.6725750000000000,59227.095,59229.479
1742703764.442370,,0,Tag,4,5.916,3.656,3.595,6.142,,9.703957000000000,-1.142959,0.103117,0.0684,0.056547,0.060499,-1283.36896,-480.305216,359.598016,-1282.5,-463.5,384.0,-83.245032,84.852088,139.60392,-0.230035,0.634266,0.30402200000000000,0.672577,59247.095,59249.514
1742703764.460690,,0,Tag,4,5.952,3.687,3.583,6.241,,9.70159,-1.144735,0.10099800000000000,0.033410000000000000,0.019704,0.009549,-1287.8647040000000,-484.733024,357.88604800000000,-1287.0,-468.0,382.5,-83.24471200000000,84.85063200000000,139.60560000000000,-0.230035,0.634263,0.30402400000000000,0.672578,59267.095,59269.48
1742703764.481140,,0,Tag,4,5.949,3.673,3.619,6.171,,9.707511,-1.137511,0.100785,-0.054597,0.0011640000000000000,0.043678000000000000,-1289.353856,-483.032064,353.454592,-1288.5,-466.5,378.0,-83.244224,84.846904,139.608,-0.23002600000000000,0.634263,0.304018,0.672585,59287.095,59289.479
1742703764.502620,,0,Tag,4,5.966,3.687,3.576,6.218,,9.717348,-1.150852,0.096845,-0.11483,-0.099372,0.08161,-1290.861952,-475.674848,356.785344,-1290.0,-459.0,381.0,-83.243552,84.846584,139.60673600000000,-0.230013,0.634265,0.304013,0.67259,59307.095,59309.517
